seq,region_major,region_minor,level,modifier,name,note
435,루더스 호수,루디브리엄,113,멈추지 않는,로보토이,
845,그란디스,그란디스,115,석화의,사신 스펙터,젠량 준수한 단독맵 있으나 수식어 잘나오는 편은 아님
457,루더스 호수,루디브리엄,118,허약의,[★] 듀얼 파이렛,
501,루더스 호수,루더스 호수 인근,123,포션을 싫어하는,판스,
389,엘나스 산맥,엘나스,124,독을 뿌리는,쿨리 좀비,
381,엘나스 산맥,엘나스,127,봉인의,캐슬 골렘,
418,엘나스 산맥,엘나스 산맥,134,허약의,[★] 가든 골렘,
173,빅토리아 아일랜드,빅토리아 아일랜드,136,암흑의,위험한 향로 토끼,
621,무릉도원,무릉도원,136,석화의,붉은 도깨비,
605,무릉도원,무릉도원,137,회피하는,홍화사,
492,루더스 호수,루더스 호수 인근,139,혼란의,초록 왕도꺠비,
665,미나르 숲,용의 숲,141,포션을 싫어하는,[★] 다크 와이번,"수식어가 잘뜨는 편은 아니지만, 젠량이 준수한 단독맵이 있습니다."
178,빅토리아 아일랜드,빅토리아 아일랜드,142,독을 뿌리는,위험한 유적의 공격병B,
141,빅토리아 아일랜드,커닝타워,149,회피하는,증기뿜는 커피머신,
722,시간의 신전,과거의 문,149,기절시키는,후회의 수호대장,"수식어가 잘 나오는 편은 아니고, 단독맵도 없습니다. 그나마 '후회의 길5'에서 작업하는 것이 낫습니다. (릴리노흐는 거의 안나오고, 시간의 눈은 젠량이 적음)"
727,시간의 신전,과거의 문,154,튼튼한,망각의 수호대장,"원래 수식어가 '매혹의'여서 쉽지 않았는데, '튼튼한'으로 바뀐 후로 매우 쉬워졌습니다. 무조건 망각의 길5에서 작업합시다. (라이카 거의 안나오고, 시간의 눈은 아예 안나옴)"
707,미나르 숲,미나르 숲,158,맹독의,포이즌 호넷,"아주 악랄한 녀석입니다. 이 녀석 등록한다고 10시간 이상은 쓴 것 같은데, 어려운 이유를 나열해보겠습니다. 몬컬 800이상 노리는 헤비유저가 아니라면, 절대 손대지 마세요!!
1) 포이즌 호넷이 등장하는 '벌떼의 서식지'는 '암벽거인 콜로서스' 테마던전의 초반 퀘스트를 깨지 않으면 입장할 수 없습니다. (150레벨 이상부터 수행 가능) 레벨대 넘어가면 다른 캐릭터로 또 깨야합니다.
2) '벌떼의 서식지'를 입장할 수 있게 되어도 이곳으로 텔포가 불가능합니다(몬컬 친창과 공유 불가능).
3) 포이즌 호넷의 단독맵은 하나도 없습니다. 
4) 맹독 수식어는 잘 안나옵니다. 그리고 이상하게 맹독 수식어는 추가 수식어인 '역병'과 잘 붙습니다."
712,미나르 숲,미나르 숲,163,혼란의,타락한 돌의 정령,"등장 위치인 '암벽 거인의 몸 속'은 '암벽거인 콜로서스' 테마던전의 퀘스트 후반까지 진행해야 입장이 가능하므로 까다롭습니다. 수식어가 잘 나오진 않고, 젠량은 준수하며 지형이 괜찮습니다. "
741,시간의 신전,미래의 문,168,언데드,변형된 리본돼지,"원래 수식어는 '힘 센'으로 쉬웠지만, 매우 안나오는 수식어로 바뀐 후 어려워졌습니다. 다만, 단독맵이 있으며 젠량이 준수합니다."
523,루더스 호수,루더스 호수,178,언데드,[★] 뉴그레이 화이트,
520,루더스 호수,루더스 호수,179,허약의,드론 블랙,
916,그란디스,그란디스,179,멈추지 않는,위험한 뉴트리아,
921,그란디스,그란디스,184,맹독의 역병의,활쟁이 구루거,
744,시간의 신전,미래의 문,192,포션을 싫어하는,변형된 엑스텀프,"수식어가 잘나오진 않으나, 단독맵이 있고(다만 변형된 스텀피 가끔 나옴) 젠량이 준수합니다."
892,그란디스,그란디스,195,독을 뿌리는,뿡뿡 다람쥐,
754,시간의 신전,미래의 문,198,봉인의,에인션트 믹스골렘,수식어가 잘나오진 않지만 단독맵이 있고 젠량이 준수합니다.
302,에델슈타인,기계무덤,202,혼란의,개조 당한 실패작 안드로이드,기계무덤 언덕2
1135,아케인리버,아케인리버,205,회피하는,몬토,
1032,아케인리버,아케인리버,207,암흑의,안식의 에르다스,
1141,아케인리버,아케인리버,209,끈끈한,섬멸형 T드론 B형,
1043,아케인리버,아케인리버,213,맹독의,잘익은 울프릇,
127,빅토리아 아일랜드,슬리피우드,215,멈추지 않는,타락마족 강화도끼병,
318,에델슈타인,기계무덤,218,기절시키는,강철 제네로이드 B,
322,에델슈타인,기계무덤,219,포션을 싫어하는,합금 제네로이드 A,
1050,아케인리버,아케인리버,219,허약의,족장 크릴라,
1152,아케인리버,아케인리버,220,재생하는,강력한 스톤피,
1060,아케인리버,아케인리버,225,멈추지 않는,춤추는 빨간구두,
1073,아케인리버,아케인리버,234,암흑의,번개구름 정령,
1088,아케인리버,아케인리버,243,봉인의,의식의 휘말린 망치병,
1100,아케인리버,아케인리버,249,기절시키는,어둠의 집행자,
954,그란디스,그란디스,269,마법저항의,흑태양 법사,
967,그란디스,그란디스,274,튼튼한,주인잃은 왓치독,
1011,그란디스,그란디스,284,멈추지 않는,얼어붙은 레프 법사,
1023,그란디스,그란디스,289,언데드,근원에 다다른 기사,
1024,그란디스,그란디스,289,검은 사슬의,근원에 다가간 사제,
